locId,country,region,city,postalCode,latitude,longitude,metroCode,areaCode
Line 22516: 22514,"LB","04","Beirut","",33.8719,35.5097,,
Line 30580: 30578,"LB","05","Baabda","",33.8333,35.5333,,
Line 31420: 31418,"LB","03","Tripoli","",34.4333,35.8500,,
Line 55730: 55728,"LB","03","Chekka","",34.3333,35.7333,,
Line 64573: 64571,"LB","05","Fanar","",33.8833,35.5833,,
Line 65362: 65360,"LB","04","Beyrouth","",33.8719,35.5097,,
Line 66206: 66204,"LB","05","Zahlé","",33.8497,35.9042,,
Line 66937: 66935,"LB","05","Dbayeh","",33.9500,35.5833,,
Line 66938: 66936,"LB","04","Achrafieh","",33.8833,35.5167,,
Line 66961: 66959,"LB","05","Broummâna","",33.8847,35.6333,,
Line 67558: 67556,"LB","05","Chiyâh","",33.8483,35.5281,,
Line 67775: 67773,"LB","04","Hamra","",33.9000,35.4833,,
Line 67975: 67973,"LB","03","Gebrâyel","",34.5167,36.1333,,
Line 73504: 73502,"LB","02","Tyre","",33.2711,35.1964,,
Line 78962: 78960,"LB","01","Bakkah","",33.5922,35.9233,,
Line 79945: 79943,"LB","04","Dora","",33.9000,35.5333,,
Line 91989: 91987,"LB","05","Byblos","",34.1167,35.6500,,
Line 92614: 92612,"LB","06","Ksara","",33.5264,35.3811,,
Line 94739: 94737,"LB","02","Saïda","",33.5631,35.3689,,
Line 127417: 127415,"LB","05","Haï El Bayâder","",33.8667,35.7500,,
Line 132171: 132169,"LB","05","Hammana","",33.8275,35.7331,,
Line 138816: 138814,"LB","03","Al Habashi","",34.2933,35.7575,,
Line 138817: 138815,"LB","04","Bayrut","",33.8719,35.5097,,
Line 138818: 138816,"LB","03","Aafsadîq","",34.3317,35.7867,,
Line 138819: 138817,"LB","05","Jubayl","",34.1167,35.6500,,
Line 140428: 140426,"LB","02","Kafr Silwan","",33.8550,35.7789,,
Line 142051: 142049,"LB","05","Juniyah","",33.9808,35.6178,,
Line 142197: 142195,"LB","01","Jubb Jannin","",33.6269,35.7833,,
Line 146133: 146131,"LB","05","Jadra","",33.6333,35.4000,,
Line 149524: 149522,"LB","05","Harat Al Kanisah","",33.6667,35.4167,,
Line 150273: 150271,"LB","03","An Nassar","",34.5333,36.1333,,
Line 160135: 160133,"LB","01","Dayr Al Af Ayer","",33.5500,36.0167,,
Line 160144: 160142,"LB","03","Sarghoûn","",34.2953,35.8106,,
Line 163451: 163449,"LB","05","Bertregreen","",33.9297,35.7444,,
Line 163754: 163752,"LB","05","Al Baydar","",33.8500,35.7000,,
Line 163755: 163753,"LB","05","Jurat Arsun","",33.8500,35.7167,,
Line 163765: 163763,"LB","05","Btebiat","",33.8333,35.7000,,
Line 164722: 164720,"LB","03","Btaaboura","",34.2744,35.7617,,
Line 164748: 164746,"LB","05","Bsefrîne","",33.8833,35.7000,,
Line 168465: 168463,"LB","03","Amioûn","",34.3003,35.8075,,
Line 168466: 168464,"LB","05","An Nabi Yunus","",33.6500,35.4167,,
Line 168818: 168816,"LB","03","Al Mubarakiyah","",34.5000,36.0667,,
Line 169368: 169366,"LB","02","Brak Et-tel","",33.4833,35.3333,,
Line 170572: 170570,"LB","01","Riyaq","",33.8500,36.0000,,
Line 171814: 171812,"LB","05","Choueifat","",33.8072,35.5175,,
